age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture
56,M,938,En_Couple,4,false
31,M,521,En_Couple,0,false
31,M,520,En_Couple,0,false
48,F,490,Célibataire,0,false
72,M,172,Célibataire,0,false
66,M,724,Célibataire,0,false
18,F,1072,En_Couple,0,false
35,M,229,En_Couple,1,true
46,F,170,En_Couple,3,false
40,M,157,Célibataire,0,false
26,M,1264,Seule,2,false
29,M,1258,En_Couple,2,false
27,M,594,En_Couple,4,false
51,M,222,Célibataire,0,false
42,F,422,Célibataire,0,false
81,M,540,En_Couple,1,false
18,M,440,En_Couple,1,false
42,M,595,En_Couple,2,false
32,M,547,Célibataire,0,false
34,M,521,En_Couple,1,false
40,M,518,Seule,3,false
27,M,756,Célibataire,0,false
37,F,580,Célibataire,0,false
33,M,439,Célibataire,0,false
65,M,1245,En_Couple,2,false
59,M,466,Marié(e),2,false
29,M,1019,En_Couple,3,false
54,M,995,En_Couple,4,false
48,F,577,En_Couple,0,false
64,M,506,Célibataire,0,false
18,F,537,En_Couple,0,false
48,M,775,En_Couple,2,true
45,M,571,En_Couple,1,false
34,M,525,En_Couple,2,true
26,F,837,En_Couple,3,false
35,M,576,En_Couple,4,false
27,F,172,Célibataire,0,false
52,M,207,En_Couple,1,false
30,M,421,En_Couple,3,false
21,F,415,En_Couple,4,false
58,M,428,Célibataire,0,false
53,M,965,En_Couple,1,false
34,M,462,En_Couple,0,false
37,M,508,Célibataire,0,false
26,M,556,En_Couple,0,false
67,F,515,En_Couple,1,false
28,F,191,Célibataire,0,false
34,M,241,Seule,3,false
20,M,1355,En_Couple,3,false
76,M,1106,Seule,1,false
20,M,996,Célibataire,0,false
27,F,535,En_Couple,2,false
34,M,590,En_Couple,4,false
72,M,420,Célibataire,0,false
77,M,232,Célibataire,0,false
74,F,503,Célibataire,0,false
81,F,952,En_Couple,0,false
49,M,573,En_Couple,2,false
35,M,409,En_Couple,3,false
45,M,453,En_Couple,3,false
84,M,172,Célibataire,0,false
52,M,534,En_Couple,3,false
62,M,1124,En_Couple,1,false
25,F,150,Célibataire,0,false
42,F,206,En_Couple,1,true
22,M,235,En_Couple,2,false
80,M,247,En_Couple,1,false
59,M,965,En_Couple,2,false
58,F,492,Célibataire,0,false
20,F,527,En_Couple,2,false
29,M,152,En_Couple,2,true
58,F,491,En_Couple,3,false
55,F,433,En_Couple,1,false
41,M,215,En_Couple,1,false
20,M,420,En_Couple,4,false
56,M,445,En_Couple,1,true
32,F,556,Célibataire,0,false
20,M,524,En_Couple,1,false
52,M,165,En_Couple,3,false
22,M,1220,En_Couple,2,false
24,M,550,En_Couple,0,false
49,F,220,En_Couple,3,false
58,F,231,En_Couple,4,false
63,M,594,En_Couple,2,false
28,M,407,En_Couple,2,false
82,M,548,En_Couple,1,false
26,M,469,En_Couple,1,false
52,M,562,En_Couple,4,false
45,F,216,En_Couple,3,false
28,F,564,En_Couple,4,false
38,M,172,En_Couple,0,false
61,F,467,En_Couple,3,false
18,F,224,En_Couple,3,false
22,F,1156,En_Couple,2,false
43,M,1146,En_Couple,2,false
64,M,235,En_Couple,0,false
30,M,1036,En_Couple,2,true
24,M,1125,En_Couple,1,false
39,M,190,En_Couple,4,false
20,M,457,En_Couple,3,false
38,M,923,En_Couple,3,false
68,F,587,En_Couple,1,false
53,M,484,En_Couple,4,false
30,M,1327,Célibataire,0,false
30,F,427,Célibataire,0,false
40,M,425,En_Couple,4,false
42,F,480,Célibataire,0,false
45,F,491,En_Couple,4,false
23,F,1151,Célibataire,0,false
54,M,213,En_Couple,1,false
79,M,570,Seule,2,false
63,M,491,En_Couple,3,false
23,M,819,Célibataire,0,false
54,M,471,En_Couple,3,false
28,M,958,En_Couple,4,false
44,M,1046,Célibataire,0,false
72,M,549,Seule,3,false
25,M,231,En_Couple,1,false
41,M,738,Célibataire,0,false
55,F,506,En_Couple,0,false
59,M,480,Célibataire,0,false
43,M,199,En_Couple,2,false
51,F,440,En_Couple,0,false
20,M,541,En_Couple,1,false
24,M,179,En_Couple,0,false
81,M,1047,En_Couple,3,false
29,M,795,En_Couple,1,false
61,M,554,En_Couple,1,false
68,F,472,En_Couple,3,false
81,M,211,En_Couple,4,false
20,M,575,Célibataire,0,false
32,F,491,En_Couple,2,false
36,M,408,Marié(e),0,false
47,M,208,En_Couple,0,false
51,M,554,Célibataire,0,false
32,F,154,En_Couple,0,false
31,F,580,En_Couple,3,true
58,F,156,En_Couple,3,false
30,M,1205,Célibataire,0,false
51,F,475,En_Couple,2,false
19,M,433,En_Couple,0,false
70,F,237,En_Couple,3,false
25,M,465,En_Couple,2,false
48,F,1328,En_Couple,2,false
21,M,747,En_Couple,3,false
25,M,236,En_Couple,2,false
54,M,211,En_Couple,0,false
44,M,795,En_Couple,2,false
37,F,872,Célibataire,0,false
41,F,596,En_Couple,1,true
79,F,837,Célibataire,0,false
23,M,1025,En_Couple,0,true
27,F,1189,Célibataire,0,false
40,F,469,En_Couple,2,false
56,M,532,Célibataire,0,false
28,M,901,Célibataire,0,false
28,M,757,En_Couple,0,true
41,F,735,Célibataire,0,false
75,M,1249,En_Couple,3,true
28,F,230,En_Couple,4,false
26,M,519,En_Couple,0,false
78,F,949,En_Couple,0,false
25,M,152,Célibataire,0,false
50,M,454,En_Couple,2,false
52,M,517,En_Couple,1,false
48,M,200,Célibataire,0,false
42,M,774,Célibataire,0,false
39,M,419,En_Couple,3,false
41,M,966,En_Couple,1,false
80,F,581,Célibataire,0,false
28,M,187,En_Couple,4,false
52,F,512,En_Couple,1,false
27,M,459,Célibataire,0,false
20,F,906,En_Couple,2,true
36,M,438,En_Couple,1,true
70,M,462,En_Couple,0,false
26,M,450,En_Couple,4,true
54,M,1131,En_Couple,3,false
40,F,193,En_Couple,3,true
65,M,540,En_Couple,1,true
79,M,486,En_Couple,1,false
45,F,179,Célibataire,0,false
58,F,1387,En_Couple,2,true
57,M,495,En_Couple,3,false
68,M,959,Célibataire,0,false
48,M,438,En_Couple,2,false
31,F,959,En_Couple,3,false
41,F,502,En_Couple,1,false
24,F,530,En_Couple,1,true
21,M,236,En_Couple,0,false
55,M,461,En_Couple,3,false
48,M,499,En_Couple,2,false
28,M,246,En_Couple,0,true
79,F,204,En_Couple,0,false
75,M,579,Célibataire,0,false
71,M,1114,En_Couple,2,true
